ci 0
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x90 120 136 118 126 140 140 138 122 126 142 116 140 122 114 112 136
0xa0 140 124 126 126 132 116 126 118 122 122 132 132 130 138 116 116
0xb0 114 138 140 124 130 114 116 116 136 128 138 138 128 136 122 130
0xc0 132 128 130 118 132 120 122 126 134 122 132 128 134 122 140 128
0xd0 134 130 116 112 118 130 124 128 128 132 142 130 136 116 126 114
0xe0 134 138 120 116 138 126 124 128 120 132 122 142 124 128 142 114
0xf0 128 116 130 118 132 112 118 122 138 134 140 120 118 130 120 140
ci 12
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 122 132 138 138 128 126 136 122 116 134 132 140 122 136 130
0x10 128 130 128 142 126 116 126 120 122 140 130 136 120 118 128 138
0x20 130 132 138 128 136 126 136 122 120 130 136 126 134 124 126 136
0x30 130 132 118 124 140 138 120 114 112 138 124 130 122 136 142 128
0x40 124 134 124 114 130 120 122 116 126 120 126 124 116 130 124 134
0x50 140 134 128 134 134 116 130 132 118 128 122 120 120 126 116 118
0x60 134 120 138 128 128 118 116 134 132 142 120 126 126 116 130 140
0x70 126 136 134 132 124 130 116 118 140 142 132 130 130 136 138 116
0x80 126 136 142 116 124 130 124 134 136 130 120 134 118 132 134 144
0x90 114 132 126 140 116 138 128 138 116 134 128 118 126 140 122 132
0xa0 116 126 136 134 134 132 114 140 122 140 142 140 124 122 136 122
0xb0 128 138 128 142 134 124 126 112 118 120 134 116 132 138 140 118
0xc0 130 124 126 132 124 130 144 122 116 126 120 134 134 132 130 124
0xd0 142 120 142 132 124 138 132 134 128 122 120 134 126 132 126 128
0xe0 136 130 136 118 142 140 126 136 134 136 126 140 116 130 140 126
0xf0 116 134 136 126 126 124 130 140 122 116 134 140 132 114 112 114
ci 13
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 114 128 126 140 118 136 134 126 136 138 136 122 140 130 144
0x10 128 138 120 126 128 122 124 138 114 132 142 116 114 132 130 128
0x20 126 132 138 132 118 116 126 136 116 138 116 134 132 114 128 130
0x30 114 120 126 120 126 132 126 128 124 130 132 118 128 134 140 134
0x40 140 114 120 130 124 130 132 118 122 128 122 124 114 120 126 136
0x50 120 126 140 134 132 114 140 134 130 120 130 116 134 132 122 140
0x60 130 140 130 136 126 120 138 120 144 130 124 130 140 126 116 114
0x70 130 132 130 128 138 116 126 140 140 134 128 126 116 134 124 122
0x80 122 120 126 144 138 136 130 124 128 134 136 122 144 118 124 118
0x90 130 128 134 136 134 124 118 136 132 122 132 134 136 118 116 134
0xa0 132 134 116 130 136 122 140 130 138 140 134 140 134 136 134 132
0xb0 128 122 120 126 120 138 140 114 130 140 142 140 130 116 138 120
0xc0 134 120 134 116 122 116 126 124 124 126 136 142 136 130 120 126
0xd0 138 132 122 128 138 116 134 116 132 126 120 118 124 118 140 130
0xe0 128 134 116 126 120 134 128 138 142 140 134 144 134 140 114 124
0xf0 136 126 132 126 124 114 132 134 122 120 130 124 126 124 130 132
ci 14
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 136 140 136 124 132 136 116 140 112 140 140 136 132 128 120
0x10 130 118 118 126 130 126 118 118 134 134 118 114 126 142 118 130
0x20 122 142 122 122 114 126 122 130 130 114 134 122 122 138 142 130
0x30 136 144 128 116 116 124 132 136 112 116 116 124 132 128 120 120
0x40 116 124 140 128 132 116 124 120 128 140 116 132 136 132 116 132
0x50 134 130 134 126 122 118 138 130 130 130 134 122 134 126 130 126
0x60 126 130 130 138 122 142 134 126 142 134 142 114 130 130 114 142
0x70 140 124 120 124 140 132 128 140 132 120 116 132 132 136 116 132
0x80 116 128 124 140 120 124 112 120 116 140 128 132 128 136 116 120
0x90 122 130 130 126 122 130 130 126 130 134 134 134 114 126 126 118
0xa0 134 118 122 134 126 126 122 118 130 142 138 138 130 134 122 130
0xb0 120 140 124 124 140 120 120 112 116 132 132 120 136 136 120 140
0xc0 120 116 124 116 120 132 140 132 120 136 120 124 120 128 128 124
0xd0 134 118 138 118 130 122 118 122 118 122 142 134 122 126 138 130
0xe0 122 138 130 134 126 134 142 122 126 130 130 130 130 118 118 134
0xf0 132 128 140 124 116 128 116 132 128 128 124 120 136 128 116 136
ci 15
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 136 120 116 114 118 134 142 136 132 136 144 122 130 142 130
0x10 126 130 122 130 116 140 116 128 122 130 126 130 128 124 128 120
0x20 134 134 122 118 140 136 124 116 126 130 130 138 140 124 132 136
0x30 124 128 124 140 134 126 122 126 120 128 136 132 122 118 118 118
0x40 116 144 136 120 130 138 138 118 132 116 120 116 122 118 122 130
0x50 134 134 134 122 128 116 124 116 130 134 114 130 116 124 120 140
0x60 138 126 138 122 116 116 136 132 138 130 130 126 132 136 136 128
0x70 140 124 128 140 130 134 130 130 136 124 132 124 126 118 126 138
0x80 124 116 128 116 142 130 118 134 136 132 132 132 122 114 114 126
0x90 138 134 130 122 120 120 124 120 122 138 122 142 120 124 124 116
0xa0 122 138 130 118 136 132 132 116 142 114 118 118 116 132 136 116
0xb0 136 116 140 124 130 130 114 134 128 128 116 112 130 134 122 122
0xc0 128 124 128 120 134 126 114 134 116 132 132 120 130 126 118 134
0xd0 130 122 142 114 140 120 140 132 130 126 126 142 132 116 140 128
0xe0 142 130 130 122 136 136 120 140 138 130 134 122 132 120 116 132
0xf0 120 112 128 140 134 130 130 130 128 124 112 120 126 126 122 134
ci 16
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 116 126 138 122 118 120 124 126 126 128 128 120 128 122 130
0x10 120 140 134 122 122 118 120 132 130 130 132 124 116 140 118 134
0x20 118 122 128 116 124 136 118 130 132 124 130 130 130 130 128 136
0x30 122 134 124 112 128 116 114 126 132 132 122 138 130 122 136 112
0x40 128 132 118 130 130 126 120 124 130 114 140 124 116 124 142 134
0x50 128 140 126 122 130 134 144 132 118 126 120 120 120 136 138 130
0x60 134 114 120 132 140 112 142 114 128 112 134 126 126 134 116 116
0x70 122 134 124 128 136 140 122 118 136 136 126 142 142 118 132 140
0x80 136 128 122 122 130 114 124 116 118 138 132 120 136 132 126 138
0x90 116 116 126 126 134 126 136 128 126 138 116 136 120 124 118 114
0xa0 118 126 140 116 140 140 122 122 124 120 126 130 130 134 140 136
0xb0 134 126 140 140 140 124 138 130 136 132 122 118 126 114 136 140
0xc0 136 136 138 114 130 122 140 124 122 134 120 116 140 128 130 134
0xd0 124 140 142 126 118 126 128 120 130 126 128 116 132 120 122 134
0xe0 126 134 116 124 124 124 138 122 128 124 114 134 126 130 136 132
0xf0 126 142 124 116 132 140 122 122 132 136 126 114 138 134 140 120
ci 17
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 128 126 126 128 116 130 118 130 134 136 132 122 122 116 124
0x10 132 116 134 142 132 136 130 126 118 122 120 124 134 118 116 116
0x20 130 126 116 136 142 118 124 140 120 144 122 114 140 136 122 118
0x30 118 122 124 128 122 138 132 132 132 116 130 138 136 140 122 118
0x40 124 120 122 126 140 116 134 118 114 122 120 128 122 118 124 136
0x50 124 128 126 130 124 140 130 114 122 122 140 116 138 142 128 124
0x60 126 126 120 120 122 142 136 140 120 124 114 126 140 124 122 114
0x70 126 142 124 116 130 134 140 136 136 140 126 130 124 124 126 126
0x80 124 124 134 126 124 120 122 126 126 130 120 140 118 126 116 140
0x90 120 120 134 134 120 132 130 126 122 126 112 124 122 130 124 140
0xa0 118 138 124 128 130 122 116 124 124 140 122 130 128 140 122 142
0xb0 130 126 140 112 134 118 116 140 128 120 138 130 132 120 130 134
0xc0 136 140 138 126 128 136 126 134 142 126 128 120 142 138 124 128
0xd0 136 132 126 114 128 144 138 130 118 126 132 140 126 114 128 116
0xe0 122 122 128 136 126 122 120 124 132 136 114 134 128 120 130 122
0xf0 138 122 116 132 134 130 140 136 116 136 126 138 144 120 118 134
ci 18
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 118 134 124 136 138 134 144 120 142 118 132 136 138 118 120
0x10 122 116 124 126 130 120 140 130 126 136 128 138 142 116 112 142
0x20 130 124 124 142 126 132 128 134 122 132 140 134 134 140 136 134
0x30 140 130 138 128 128 130 134 128 128 134 126 124 132 134 114 132
0x40 120 126 126 124 120 114 142 120 124 122 138 120 116 134 138 132
